merk;cashback;min_pembelian;tipe;disc;before_disc;after_disc;harga_Fix
Coccinelle;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;Arlettis Wallet;-60%;Rp 2.947.000;None;Rp1.178.800
Coccinelle;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Tassel Wallet;-49%;Rp 1.304.000;None;Rp665.040
Gucci;25% Cashback;Min. pembelian  Rp299.000.;GG Canvas Folded Wallet (nt);-25%;Rp 14.309.000;Rp 10.731.750;Rp 10.731.750
Gucci;25% Cashback;Min. pembelian  Rp299.000.;Monogram Crossbody Bag (nt);-25%;Rp 34.379.000;Rp 25.784.250;Rp 25.784.250
Coach;35% off + 5% Cashback;Tanpa min. pembelian.;Kleo Shoulder Bag (nt);-42%;Rp 13.069.000;None;Rp7.645.365
agnès b.;6% Cashback;Tanpa min. pembelian.;Nylon Coin Case;-56%;Rp 1.749.000;Rp 787.050;Rp 787.050
Coccinelle;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;Clivia Matelasse Wallet;-60%;Rp 2.641.000;None;Rp1.056.400
Gucci;25% Cashback;Min. pembelian  Rp299.000.;Leather Card Case (nt);-25%;Rp 6.449.000;Rp 4.836.750;Rp 4.836.750
Gucci;25% Cashback;Min. pembelian  Rp299.000.;Interlocking Flap Wallet (nt);-25%;Rp 17.829.000;Rp 13.371.750;Rp 13.371.750
Guess;25% Cashback;Min. pembelian  Rp299.000.;Eco Elements Backpack;-20%;Rp 2.833.650;Rp 2.266.920;Rp 2.266.920
Guess;25% Cashback;Min. pembelian  Rp299.000.;Galeria Camera Bag;None;None;None;None
agnès b.;25% off + 1% Cashback;Min. pembelian  Rp299.000, maks. potongan Rp500.000.;Front-Flap Accordion Wallet;-59%;Rp 2.739.000;None;Rp1.129.838
agnès b.;25% Cashback;Min. pembelian  Rp299.000.;Casual Shoulder Bag;-25%;Rp 3.999.000;Rp 2.999.250;Rp 2.999.250
agnès b.;25% Cashback;Min. pembelian  Rp299.000.;Logo Tote Bag;-25%;Rp 3.779.000;Rp 2.834.250;Rp 2.834.250
agnès b.;35% off + 5% Cashback;Tanpa min. pembelian.;Logo Neck Strap Leather Cardholder;-48%;Rp 1.979.000;None;Rp1.029.080
Furla;35% off + 5% Cashback;Tanpa min. pembelian.;1927 Mini Top Handle Bag (zt);-61%;Rp 13.709.000;None;Rp5.346.510
Coach;35% off + 5% Cashback;Tanpa min. pembelian.;Turnlock Clutch 20 Crossbody Bag (cv);-55%;Rp 11.869.000;None;Rp5.400.395
Furla;35% off + 5% Cashback;Tanpa min. pembelian.;Net Large Tote Bag (zt);-55%;Rp 16.769.000;None;Rp7.629.895
agnès b.;20% off;Min. pembelian  Rp300.000, maks. potongan Rp150.000.;Front-Flap Accordion Wallet;-57%;Rp 2.329.000;None;Rp1.014.500
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Magie Wallet;-55%;Rp 2.303.000;None;Rp1.047.865
agnès b.;25% Cashback;Min. pembelian  Rp299.000.;Logo Mini Backpack;-25%;Rp 3.779.000;Rp 2.834.250;Rp 2.834.250
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Shirley Sling Bag;-55%;Rp 3.752.000;None;Rp1.707.160
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Gleen Sling Bag;-55%;Rp 4.847.000;None;Rp2.205.385
agnès b.;35% off + 5% Cashback;Tanpa min. pembelian.;Metal Logo Backpack;-48%;Rp 4.389.000;None;Rp2.282.280
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Myrine Wallet;-55%;Rp 2.093.000;None;Rp952.315
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Metallic Soft Wallet;-55%;Rp 2.399.000;None;Rp1.091.545
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Gleen Shoulder Bag;-55%;Rp 5.443.000;None;Rp2.476.565
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Priscilla Shoulder Bag;-55%;Rp 6.135.000;None;Rp2.791.425
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Blaire Backpack;-55%;Rp 6.135.000;None;Rp2.791.425
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Trousse Pouch;-55%;Rp 1.095.000;None;Rp498.225
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Gleen Tote Bag;-55%;Rp 5.684.000;None;Rp2.586.220
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Metallic Soft Wallet;-55%;Rp 1.755.000;None;Rp798.525
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Liya Top Handle Bag;-42%;Rp 7.037.000;None;Rp4.116.645
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Stevie Pouch;-55%;Rp 1.643.000;None;Rp747.565
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Priscilla Shoulder Bag;-55%;Rp 7.246.000;None;Rp3.296.930
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Metallic Soft Wallet;-55%;Rp 1.755.000;None;Rp798.525
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Enchanteuse Sling Bag;-55%;Rp 3.253.000;None;Rp1.480.115
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Beat Soft Mini Bag;-55%;Rp 2.142.000;None;Rp974.610
VALENTINO by Mario Valentino;35% off + 5% Cashback;Tanpa min. pembelian.;Superman Wallet;-48%;Rp 1.689.000;None;Rp878.280
VALENTINO by Mario Valentino;35% off + 5% Cashback;Tanpa min. pembelian.;Tandoori Top-Handle;-52%;Rp 4.719.000;None;Rp2.300.513
agnès b.;6% Cashback;Tanpa min. pembelian.;Leather Crossbody Bag;-45%;Rp 4.279.000;Rp 2.353.450;Rp 2.353.450
agnès b.;6% Cashback;Tanpa min. pembelian.;Logo Tote Bag;-20%;Rp 2.299.000;Rp 1.839.200;Rp 1.839.200
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Flor Phone Bag;-55%;Rp 2.641.000;None;Rp1.201.655
Kate Spade;25% Cashback;Min. pembelian  Rp299.000.;Morgan Metallic Leather Zip Around Continental Wallet;-40%;Rp 6.329.000;Rp 3.797.400;Rp 3.797.400
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Best Crossbody Matelasse Sling Bag;-55%;Rp 3.188.000;None;Rp1.450.540
agnès b.;6% Cashback;Tanpa min. pembelian.;Logo Tote Bag;-25%;Rp 2.299.000;Rp 1.724.250;Rp 1.724.250
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Metallic Soft Wallet;-55%;Rp 1.755.000;None;Rp798.525
Guess;25% Cashback;Min. pembelian  Rp299.000.;Galeria Camera Bag;None;None;None;None
Guess;25% Cashback;Min. pembelian  Rp299.000.;Didi Society Satchel;-20%;Rp 2.878.800;Rp 2.303.040;Rp 2.303.040
TORY BURCH;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;Britten Studs Medium Shoulder Bag (nt);-37%;Rp 17.129.000;None;Rp10.833.850
VALENTINO by Mario Valentino;35% off + 5% Cashback;Tanpa min. pembelian.;Divina Zip Around Wallet;-39%;Rp 1.099.000;None;Rp678.633
VALENTINO by Mario Valentino;35% off + 5% Cashback;Tanpa min. pembelian.;Divina Cardholder;-39%;Rp 919.000;None;Rp567.483
VALENTINO by Mario Valentino;6% Cashback;Tanpa min. pembelian.;Juniper Zip Around Wallet;-60%;Rp 1.759.000;Rp 703.600;Rp 703.600
VALENTINO by Mario Valentino;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Avern Bi-Fold Wallet;-66%;Rp 1.669.000;None;Rp567.460
VALENTINO by Mario Valentino;35% off + 5% Cashback;Tanpa min. pembelian.;Alexia Bi-Fold Wallet;-61%;Rp 1.759.000;None;Rp686.010
VALENTINO by Mario Valentino;25% off + 1% Cashback;Min. pembelian  Rp299.000, maks. potongan Rp500.000.;Divina Zip Around Wallet;-56%;Rp 1.759.000;None;Rp791.550
VALENTINO by Mario Valentino;6% Cashback;Tanpa min. pembelian.;Divina Sa Bi-fold Wallet;-45%;Rp 1.709.000;Rp 939.950;Rp 939.950
VALENTINO by Mario Valentino;35% off + 5% Cashback;Tanpa min. pembelian.;Alexia Tri-fold Wallet;-48%;Rp 1.709.000;None;Rp888.680
VALENTINO by Mario Valentino;35% off + 5% Cashback;Tanpa min. pembelian.;Alexia Bi-Fold Wallet;-48%;Rp 1.759.000;None;Rp914.680
VALENTINO by Mario Valentino;6% Cashback;Tanpa min. pembelian.;Nicum Crossbody Bag;-60%;Rp 4.719.000;Rp 1.887.600;Rp 1.887.600
VALENTINO by Mario Valentino;35% off + 5% Cashback;Tanpa min. pembelian.;Ocarina Bi-Fold Wallet;-45%;Rp 1.759.000;None;Rp971.848
VALENTINO by Mario Valentino;6% Cashback;Tanpa min. pembelian.;Olive Zip Around Wallet;-50%;Rp 1.759.000;Rp 879.500;Rp 879.500
VALENTINO by Mario Valentino;35% off + 5% Cashback;Tanpa min. pembelian.;Divina Wallet;-48%;Rp 1.099.000;None;Rp571.480
VALENTINO by Mario Valentino;6% Cashback;Tanpa min. pembelian.;Avern Zip Around Wallet;-60%;Rp 1.049.000;Rp 419.600;Rp 419.600
VALENTINO by Mario Valentino;35% off + 5% Cashback;Tanpa min. pembelian.;Avern Bi-Fold Wallet;-61%;Rp 1.799.000;None;Rp701.610
VALENTINO by Mario Valentino;6% Cashback;Tanpa min. pembelian.;Licor Zip Around Wallet;-60%;Rp 1.799.000;Rp 719.600;Rp 719.600
VALENTINO by Mario Valentino;6% Cashback;Tanpa min. pembelian.;Divina Zip Around Wallet;-50%;Rp 1.759.000;Rp 879.500;Rp 879.500
VALENTINO by Mario Valentino;35% off + 5% Cashback;Tanpa min. pembelian.;Ocarina Zip Around Wallet;-39%;Rp 1.579.000;None;Rp975.033
VALENTINO by Mario Valentino;35% off + 5% Cashback;Tanpa min. pembelian.;Divina Zip Around Wallet;-48%;Rp 1.099.000;None;Rp571.480
VALENTINO by Mario Valentino;6% Cashback;Tanpa min. pembelian.;Avern Zip Around Wallet;-60%;Rp 1.579.000;Rp 631.600;Rp 631.600
VALENTINO by Mario Valentino;20% off;Min. pembelian  Rp300.000, maks. potongan Rp150.000.;Avern Zip Around Wallet;-59%;Rp 1.799.000;None;Rp749.500
VALENTINO by Mario Valentino;35% off + 5% Cashback;Tanpa min. pembelian.;Ocarina Zip Around Wallet;-48%;Rp 1.579.000;None;Rp821.080
VALENTINO by Mario Valentino;35% off + 5% Cashback;Tanpa min. pembelian.;Ocarina Zip Around Wallet;-61%;Rp 1.579.000;None;Rp615.810
MICHAEL KORS;35% off + 5% Cashback;Tanpa min. pembelian.;Jet Set Item Zip Chain Crossbody Bag (hz);-48%;Rp 8.509.000;None;Rp4.424.680
agnès b.;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;Sling Bag;-47%;Rp 4.389.000;None;Rp2.333.400
MICHAEL KORS;35% off + 5% Cashback;Tanpa min. pembelian.;Logo Wallet with Card Case (hz);-42%;Rp 4.789.000;None;Rp2.801.565
VALENTINO by Mario Valentino;35% off + 5% Cashback;Tanpa min. pembelian.;Divina Zip Around Wallet;-48%;Rp 1.759.000;None;Rp914.680
VALENTINO by Mario Valentino;35% off + 5% Cashback;Tanpa min. pembelian.;Olive Zip Around Wallet;-65%;Rp 1.759.000;None;Rp628.843
MICHAEL KORS;35% off + 5% Cashback;Tanpa min. pembelian.;Jet Set Travel Small Coin Pouch (hz);-42%;Rp 3.509.000;None;Rp2.052.765
agnès b.;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;Long Wallet;-48%;Rp 3.779.000;None;Rp1.967.400
MICHAEL KORS;35% off + 5% Cashback;Tanpa min. pembelian.;Jet Set Travel Small Coin Pouch (hz);-42%;Rp 3.509.000;None;Rp2.052.765
agnès b.;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;Leather Sling Bag;-41%;Rp 5.979.000;None;Rp3.586.350
VALENTINO by Mario Valentino;6% Cashback;Tanpa min. pembelian.;Olive Zip Around Wallet;-60%;Rp 1.759.000;Rp 703.600;Rp 703.600
MICHAEL KORS;35% off + 5% Cashback;Tanpa min. pembelian.;Jet Set Travel Double Zip Wallet (hz);-42%;Rp 4.789.000;None;Rp2.801.565
agnès b.;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;Logo Wallet;-38%;Rp 3.999.000;None;Rp2.499.300
Guess;25% off + 1% Cashback;Min. pembelian  Rp299.000, maks. potongan Rp500.000.;Pouch Bum Bag;-35%;Rp 1.619.000;Rp 1.052.350;Rp 1.052.350
Guess;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;Logo Patch Crossbody Bag;-50%;Rp 1.689.000;Rp 844.500;Rp 844.500
agnès b.;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;Shoulder Tote;-46%;Rp 5.379.000;None;Rp2.927.400
MICHAEL KORS;35% off + 5% Cashback;Tanpa min. pembelian.;Jet Set Travel Small Coin Pouch (hz);-42%;Rp 3.509.000;None;Rp2.052.765
Coccinelle;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;Clivia Matelasse Wallet;-60%;Rp 2.641.000;None;Rp1.056.400
Coccinelle;20% off;Min. pembelian  Rp300.000, maks. potongan Rp150.000.;Metallic Soft Card Case;-59%;Rp 1.755.000;None;Rp727.500
agnès b.;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;Ras33-04 Sling Bags;-36%;Rp 5.979.000;None;Rp3.885.300
agnès b.;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Ras25-04 Sling Bag;-22%;Rp 6.369.000;None;Rp4.975.200
Coccinelle;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;Arlettis Wallet;-60%;Rp 2.947.000;None;Rp1.178.800
agnès b.;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;Leather Wallet;-39%;Rp 3.399.000;None;Rp2.079.300
Coccinelle;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;Arlettis Sling Bag;-58%;Rp 4.187.000;None;Rp1.793.500
Ferragamo;35% off + 5% Cashback;Tanpa min. pembelian.;Viva Card Case Qixi Exclusive (zt);-55%;Rp 10.929.000;None;Rp4.972.695
Coach;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Lane Shoulder Bag (cv);-47%;Rp 11.429.000;None;Rp6.165.950
agnès b.;6% Cashback;Tanpa min. pembelian.;Leather Wallet;-40%;Rp 3.009.000;Rp 1.805.400;Rp 1.805.400
agnès b.;35% off + 5% Cashback;Tanpa min. pembelian.;Leather Wallet;-42%;Rp 3.779.000;None;Rp2.210.715
Coccinelle;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;Dina Sling Wallet;-49%;Rp 3.494.000;None;Rp1.796.400
agnès b.;25% Cashback;Min. pembelian  Rp299.000.;Shoulder Tote Bag;-25%;Rp 5.379.000;Rp 4.034.250;Rp 4.034.250
agnès b.;25% Cashback;Min. pembelian  Rp299.000.;Casual Shoulder Bag;-25%;Rp 3.999.000;Rp 2.999.250;Rp 2.999.250
agnès b.;20% off;Min. pembelian  Rp300.000, maks. potongan Rp150.000.;Nylon Coin Case;-59%;Rp 1.749.000;None;Rp724.500
agnès b.;25% Cashback;Min. pembelian  Rp299.000.;Logo Sling Bag;-25%;Rp 3.999.000;Rp 2.999.250;Rp 2.999.250
agnès b.;25% Cashback;Min. pembelian  Rp299.000.;Boston Bag;-25%;Rp 4.389.000;Rp 3.291.750;Rp 3.291.750
agnès b.;25% Cashback;Min. pembelian  Rp299.000.;Boston Bag;-25%;Rp 3.779.000;Rp 2.834.250;Rp 2.834.250
agnès b.;25% Cashback;Min. pembelian  Rp299.000.;Logo Sling Bag;-25%;Rp 3.999.000;Rp 2.999.250;Rp 2.999.250
agnès b.;25% Cashback;Min. pembelian  Rp299.000.;Check Top Hand Bag;-25%;Rp 4.769.000;Rp 3.576.750;Rp 3.576.750
agnès b.;25% Cashback;Min. pembelian  Rp299.000.;Logo Boston Bag;-25%;Rp 3.779.000;Rp 2.834.250;Rp 2.834.250
agnès b.;25% Cashback;Min. pembelian  Rp299.000.;Leather Shoulder Bag;-25%;Rp 5.379.000;Rp 4.034.250;Rp 4.034.250
agnès b.;25% Cashback;Min. pembelian  Rp299.000.;Logo Backpack;-25%;Rp 2.589.000;Rp 1.941.750;Rp 1.941.750
agnès b.;25% Cashback;Min. pembelian  Rp299.000.;Basic Belt Bag;-25%;Rp 3.399.000;Rp 2.549.250;Rp 2.549.250
agnès b.;35% off + 5% Cashback;Tanpa min. pembelian.;Logo Shoulder Bag;-48%;Rp 3.779.000;None;Rp1.965.080
agnès b.;35% off + 5% Cashback;Tanpa min. pembelian.;Mini Leather Wallet;-48%;Rp 3.399.000;None;Rp1.767.480
agnès b.;35% off + 5% Cashback;Tanpa min. pembelian.;Mini Leather Coin Case;-45%;Rp 2.189.000;None;Rp1.209.423
agnès b.;35% off + 5% Cashback;Tanpa min. pembelian.;All Around Zip Wallet;-48%;Rp 3.179.000;None;Rp1.653.080
agnès b.;25% Cashback;Min. pembelian  Rp299.000.;Shoulder Tote Bag;-25%;Rp 5.379.000;Rp 4.034.250;Rp 4.034.250
agnès b.;25% Cashback;Min. pembelian  Rp299.000.;Shoulder Tote Bag;-25%;Rp 5.379.000;Rp 4.034.250;Rp 4.034.250
agnès b.;35% off + 5% Cashback;Tanpa min. pembelian.;All Around Zip Wallet;-48%;Rp 3.179.000;None;Rp1.653.080
agnès b.;25% Cashback;Min. pembelian  Rp299.000.;Logo Crossbody Bag;-25%;Rp 3.399.000;Rp 2.549.250;Rp 2.549.250
agnès b.;35% off + 5% Cashback;Tanpa min. pembelian.;Leather Wallet;-48%;Rp 3.179.000;None;Rp1.653.080
agnès b.;35% off + 5% Cashback;Tanpa min. pembelian.;Leather Top Handle Bag;-48%;Rp 6.809.000;None;Rp3.540.680
Guess;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;Quilted Wallet;-31%;Rp 1.610.599;Rp 1.127.419;Rp 1.127.419
Guess;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;Manhattan Large Backpack;None;None;None;None
agnès b.;35% off + 5% Cashback;Tanpa min. pembelian.;Logo Metal Detail Leather Wallet;-48%;Rp 3.179.000;None;Rp1.653.080
Furla;35% off + 5% Cashback;Tanpa min. pembelian.;Villa Mini Crossbody Bag (zt);-61%;Rp 11.189.000;None;Rp4.363.710
Furla;35% off + 5% Cashback;Tanpa min. pembelian.;Net L Tote Bag (zt);-55%;Rp 16.769.000;None;Rp7.629.895
Furla;35% off + 5% Cashback;Tanpa min. pembelian.;Net M Top Handle Bag (zt);-61%;Rp 14.359.000;None;Rp5.600.010
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Kattie Wallet;-55%;Rp 2.947.000;None;Rp1.340.885
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Tassel Card Holder;-55%;Rp 1.304.000;None;Rp593.320
Furla;35% off + 5% Cashback;Tanpa min. pembelian.;1927 Mini Top Handle Bag (zt);-61%;Rp 13.709.000;None;Rp5.346.510
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Never Without Monogram Tote Bag;-55%;Rp 5.443.000;None;Rp2.476.565
Furla;35% off + 5% Cashback;Tanpa min. pembelian.;Charlie Mini Crossbody Bag (zt);-61%;Rp 10.269.000;None;Rp4.004.910
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Never Without Ribbon Tote Bag;-55%;Rp 4.348.000;None;Rp1.978.340
Furla;35% off + 5% Cashback;Tanpa min. pembelian.;Club 2 S Crossbody Bag (zt);-55%;Rp 16.769.000;None;Rp7.629.895
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Never Without Bag Monogram Tote Bag;-55%;Rp 4.589.000;None;Rp2.087.995
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Metallic Goodie Wallet;-55%;Rp 2.754.000;None;Rp1.253.070
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Trousse Pouch;-55%;Rp 1.304.000;None;Rp593.320
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Metallic Soft Card Holder;-52%;Rp 1.643.000;None;Rp800.963
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Liya Top Handle Bag;-55%;Rp 7.037.000;None;Rp3.201.835
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Merveille Shoulder Bag;-55%;Rp 3.752.000;None;Rp1.707.160
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Magie Wallet;-55%;Rp 2.303.000;None;Rp1.047.865
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Metallic Card Holder;-55%;Rp 1.643.000;None;Rp747.565
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Magie Wallet;-55%;Rp 2.947.000;None;Rp1.340.885
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Tassel Card Holder;-55%;Rp 1.304.000;None;Rp593.320
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Enchanteuse Sling Bag;-55%;Rp 3.849.000;None;Rp1.751.295
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Dina Wallet;-55%;Rp 2.947.000;None;Rp1.340.885
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Liya Top Handle Bag;-55%;Rp 7.037.000;None;Rp3.201.835
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Dina Wallet;-55%;Rp 2.947.000;None;Rp1.340.885
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Never Without Bag Monogram Tote Bag;-55%;Rp 4.589.000;None;Rp2.087.995
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Priscilla Shoulder Bag;-55%;Rp 7.246.000;None;Rp3.296.930
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Kattie Wallet;-55%;Rp 2.947.000;None;Rp1.340.885
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Gleen Sling Bag;-55%;Rp 4.847.000;None;Rp2.205.385
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Kattie Wallet;-55%;Rp 2.303.000;None;Rp1.047.865
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Magie Sling Bag;-55%;Rp 3.253.000;None;Rp1.480.115
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Hydole Sling Bag;-55%;Rp 5.298.000;None;Rp2.410.590
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Tassel Wallet;-55%;Rp 2.947.000;None;Rp1.340.885
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Arlettis Sling Bag;-42%;Rp 5.040.000;None;Rp2.948.400
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Hydole Sling Bag;-55%;Rp 5.298.000;None;Rp2.410.590
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Magie Sling Bag;-55%;Rp 3.494.000;None;Rp1.589.770
Guess;25% Cashback;Min. pembelian  Rp299.000.;Eco Elements Backpack;-20%;Rp 2.833.650;Rp 2.266.920;Rp 2.266.920
Guess;20% off;Min. pembelian  Rp300.000, maks. potongan Rp150.000.;Pouch Crossbody Bag;-46%;Rp 1.730.999;Rp 952.049;Rp 952.049
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Coccinelle Beat Soft Sling Bag;-55%;Rp 4.348.000;None;Rp1.978.340
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Kattie Wallet;-55%;Rp 2.303.000;None;Rp1.047.865
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Never Without Cross Nylon Matelasse Medium Tote Bag;-55%;Rp 5.443.000;None;Rp2.476.565
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Metallic Card Holder;-55%;Rp 998.000;None;Rp454.090
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Blaire Backpack;-55%;Rp 6.135.000;None;Rp2.791.425
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Merveille Shoulder Bag;-55%;Rp 3.752.000;None;Rp1.707.160
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Tassel Wallet;-42%;Rp 2.850.000;None;Rp1.667.250
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Never Without Monogram Tote Bag;-55%;Rp 5.443.000;None;Rp2.476.565
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Metallic Card Holder;-55%;Rp 998.000;None;Rp454.090
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Metallic Goodie Wallet;-55%;Rp 2.754.000;None;Rp1.253.070
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Priscilla Shoulder Bag;-55%;Rp 6.135.000;None;Rp2.791.425
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Magie Wallet;-55%;Rp 2.947.000;None;Rp1.340.885
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Rosie Backpack;-55%;Rp 4.042.000;None;Rp1.839.110
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Metallic Card Holder;-55%;Rp 998.000;None;Rp454.090
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Dina Wallet;-42%;Rp 2.947.000;None;Rp1.723.995
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Never Without Small Monogram Tote Bag;-55%;Rp 4.589.000;None;Rp2.087.995
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Diletta Sling Bag;-55%;Rp 5.684.000;None;Rp2.586.220
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Metallic Soft Wallet;-55%;Rp 2.142.000;None;Rp974.610
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Tassel Card Holder;-55%;Rp 1.304.000;None;Rp593.320
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Metallic Card Holder;-55%;Rp 1.643.000;None;Rp747.565
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Metallic Soft Wallet;-55%;Rp 3.092.000;None;Rp1.406.860
Coccinelle;20% off;Min. pembelian  Rp300.000, maks. potongan Rp150.000.;Magie Sling Wallet;-25%;Rp 3.494.000;None;Rp2.645.200
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Lyra Pouch;-55%;Rp 2.142.000;None;Rp974.610
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Beat Eco Woven Sling Bag;-55%;Rp 5.443.000;None;Rp2.476.565
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Metallic Card Holder;-55%;Rp 1.643.000;None;Rp747.565
agnès b.;6% Cashback;Tanpa min. pembelian.;Nylon Crossbody Bag;-45%;Rp 4.279.000;Rp 2.353.450;Rp 2.353.450
agnès b.;6% Cashback;Tanpa min. pembelian.;Nylon Crossbody Bag;-45%;Rp 4.799.000;Rp 2.639.450;Rp 2.639.450
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Metallic Soft Wallet;-55%;Rp 2.399.000;None;Rp1.091.545
